Rule 5:
If child ?b, then successor ?b.
Elizabeth Gordon Countess of Huntly, Elizabeth Gordon Countess of Huntly has child Adam Gordon of Auchindoun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George Gordon 4th Earl of Huntly, George Gordon 4th Earl of Huntly has child Adam Gordon of Auchindoun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Woodville, Elizabeth Woodville has child Anne of York daughter of Edward IV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505, Elizabeth of Austria 1436 1505 has child Alexander Jagiellon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth of Bohemia 1292 1330, Elizabeth of Bohemia 1292 1330 has child Anne of Bohemia Duchess of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Bohemia, John of Bohemia has child Anne of Bohemia Duchess of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth of Luxembourg, Elizabeth of Luxembourg has child Anne of Austria Landgravine of Thuringia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth of York, Elizabeth of York has child Arthur Prince of Wales The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VII of England, Henry VII of England has child Arthur Prince of Wales The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth the Cuman, Elizabeth the Cuman has child Andrew Duke of Slavonia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Emma of Italy, Emma of Italy has child Louis V of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Emmanuel Philibert Duke of Savoy has successor Charles Emmanuel I Duke of Savoy, Emmanuel Philibert Duke of Savoy has child Charles Emmanuel I Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Empress Jos phine, Empress Jos phine has child Eug ne de Beauharnais The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Empress Matilda, Empress Matilda has child Geoffrey Count of Nantes The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has child Geoffrey Count of Nantes The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ermengarde of Hesbaye, Ermengarde of Hesbaye has child Lothair I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the Pious has successor Lothair I, Louis the Pious has child Lothair I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has child Ernest Augustus Duke of York and Albany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Estrid of the Obotrites, Estrid of the Obotrites has child Anund Jacob The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eug nie de Montijo, Eug nie de Montijo has child Napol on Prince Imperial The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Napoleon III, Napoleon III has child Napol on Prince Imperial The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand Duke of Viseu, Ferdinand Duke of Viseu has child Diogo Duke of Viseu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand III of Castile, Ferdinand III of Castile has child Alfonso X of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand II of Aragon, Ferdinand II of Aragon has child Alonso de Arag n The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand II of Le n, Ferdinand II of Le n has child Alfonso IX of Le n The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand IV of Castile, Ferdinand IV of Castile has child Alfonso XI of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has child Carlo Duke of Calabria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has child Carlo Duke of Calabria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has child Archduchess Maria Leopoldine of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has child Archduchess Maria Leopoldine of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Floris I Count of Holland, Floris I Count of Holland has child Bertha of Holland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fran oise Marie de Bourbon, Fran oise Marie de Bourbon has child Charlotte Agla  d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans, Philippe II Duke of Orl ans has child Charlotte Agla  d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has child Anna de Medici The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joanna of Austria Grand Duchess of Tuscany, Joanna of Austria Grand Duchess of Tuscany has child Anna de Medici The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Duke of Brittany has successor Anne of Brittany, Francis II Duke of Brittany has child Anne of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Margaret of Foix, Margaret of Foix has child Anne of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Duke of Lorraine, Francis II Duke of Lorraine has child Charles IV Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has child Archduchess Clementina of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has child Archduchess Clementina of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis IV Duke of Modena, Francis IV Duke of Modena has child Archduchess Maria Theresa of Austria Este 1817 1886 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Beatrice of Savoy, Maria Beatrice of Savoy has child Archduchess Maria Theresa of Austria Este 1817 1886 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I Duke of Lorraine has successor Charles III Duke of Lorraine, Francis I Duke of Lorraine has child Charles III Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has child Archduchess Maria Anna of Austria born 1738 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has child Archduchess Maria Anna of Austria born 1738 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick III Duke of Lorraine, Frederick III Duke of Lorraine has child Theobald II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick II Duke of Lorraine, Frederick II Duke of Lorraine has child Matthias II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick IV Duke of Lorraine, Frederick IV Duke of Lorraine has child Rudolph Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick I Duke of Lorraine has successor Frederick II Duke of Lorraine, Frederick I Duke of Lorraine has child Frederick II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Frederick Prince of Wales, Frederick Prince of Wales has child Caroline Matilda of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Augusta of Saxe Gotha, Princess Augusta of Saxe Gotha has child Caroline Matilda of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fulk IV Count of Anjou, Fulk IV Count of Anjou has child Ermengarde of Anjou d. 1146 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fulk King of Jerusalem, Fulk King of Jerusalem has child Amalric of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has child Emma of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George II of Great Britain, George II of Great Britain has child Anne Princess Royal and Princess of Orange The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George I of Great Britain has successor George II of Great Britain, George I of Great Britain has child George II of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Gerard Duke of Lorraine, Gerard Duke of Lorraine has child Theodoric II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Gerberga of Saxony, Gerberga of Saxony has child Charles Duke of Lower Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IV of France, Louis IV of France has child Charles Duke of Lower Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Gertrude of Hohenberg has child Albert II Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Giuseppe Maria Buonaparte, Giuseppe Maria Buonaparte has child Carlo Buonaparte The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hedwig of Saxony, Hedwig of Saxony has child Emma of Paris Duchess of Normandy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hemma, Hemma has child Carloman of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the German has successor Carloman of Bavaria, Louis the German has child Carloman of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Henrietta Maria, Henrietta Maria has child Anne Stuart born 1637 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henrietta of England, Henrietta of England has child Anne Marie d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Philippe I Duke of Orl ans has child Anne Marie d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry Count of Portugal has successor Afonso I of Portugal, Henry Count of Portugal has child Afonso I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Henry II of Castile, Henry II of Castile has child Eleanor of Castile Queen of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of England, Henry II of England has child Eleanor of England Queen of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Aquitaine, Eleanor of Aquitaine has child Eleanor of England Queen of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry IV of France, Henry IV of France has child C sar Duke of Vend me The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry I of Navarre has successor Joan I of Navarre, Henry I of Navarre has child Joan I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Blanche of Artois, Blanche of Artois has child Joan I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry Stuart Lord Darnley, Henry Stuart Lord Darnley has child James VI and I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary Queen of Scots has successor James VI and I, Mary Queen of Scots has child James VI and I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has child Beatrice of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Brabant, Margaret of Brabant has child Beatrice of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VI Count of Luxembourg, Henry VI Count of Luxembourg has child Baldwin of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VI of England, Henry VI of England has child Edward of Westminster Prince of Wales The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Anjou, Margaret of Anjou has child Edward of Westminster Prince of Wales The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry V of England has successor Henry VI of England, Henry V of England has child Henry VI of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
