Rule 7:
If child ?a, then predecessor ?b.
Alice Holland Countess of Kent, Eleanor of Lancaster has child Alice Holland Countess of Kent. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of Foix Countess of Candale, Eleanor of Navarre has child Catherine of Foix Countess of Candale. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of England, Eleanor of Provence has child Beatrice of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of England, Henry III of England has child Beatrice of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Afonso Prince of Portugal, Eleanor of Viseu has child Afonso Prince of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Afonso Prince of Portugal, John II of Portugal has child Afonso Prince of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Anna of Austria governor, Elisabeth Christine of Brunswic Wolfenb ttel has child Archduchess Maria Anna of Austria governor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles III of Spain, Elisabeth Farnese has child Charles III of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles III of Spain, Maria Amalia of Saxony has child Charles III of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie Elisabeth of France, Elisabeth of Austria Queen of France has child Marie Elisabeth of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie Elisabeth of France, Charles IX of France has child Marie Elisabeth of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Balthasar Charles Prince of Asturias, Elisabeth of France 1602 1644 has child Balthasar Charles Prince of Asturias. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Balthasar Charles Prince of Asturias, Philip IV of Spain has child Balthasar Charles Prince of Asturias. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of Nuremberg, Elisabeth of Meissen has child Beatrice of Nuremberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Count Palatine of Neumarkt, Elisabeth of Nuremberg has child John Count Palatine of Neumarkt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adam Gordon of Auchindoun, Elizabeth Gordon Countess of Huntly has child Adam Gordon of Auchindoun. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adam Gordon of Auchindoun, George Gordon 4th Earl of Huntly has child Adam Gordon of Auchindoun. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of York daughter of Edward IV, Elizabeth Woodville has child Anne of York daughter of Edward IV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alexander Jagiellon, Elizabeth of Austria 1436 1505 has child Alexander Jagiellon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Bohemia Duchess of Austria, Elizabeth of Bohemia 1292 1330 has child Anne of Bohemia Duchess of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Bohemia Duchess of Austria, John of Bohemia has child Anne of Bohemia Duchess of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Austria Landgravine of Thuringia, Elizabeth of Luxembourg has child Anne of Austria Landgravine of Thuringia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Arthur Prince of Wales, Elizabeth of York has child Arthur Prince of Wales. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Arthur Prince of Wales, Henry VII of England has child Arthur Prince of Wales. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Andrew Duke of Slavonia, Elizabeth the Cuman has child Andrew Duke of Slavonia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis V of France, Emma of Italy has child Louis V of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy has predecessor Emmanuel Philibert Duke of Savoy, Emmanuel Philibert Duke of Savoy has child Charles Emmanuel I Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Eug ne de Beauharnais, Empress Jos phine has child Eug ne de Beauharnais. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Geoffrey Count of Nantes, Empress Matilda has child Geoffrey Count of Nantes. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Geoffrey Count of Nantes, Geoffrey Plantagenet Count of Anjou has child Geoffrey Count of Nantes. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Lothair I, Ermengarde of Hesbaye has child Lothair I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Lothair I has predecessor Louis the Pious, Louis the Pious has child Lothair I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Ernest Augustus Duke of York and Albany, Ernest Augustus Elector of Hanover has child Ernest Augustus Duke of York and Albany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anund Jacob, Estrid of the Obotrites has child Anund Jacob. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Napol on Prince Imperial, Eug nie de Montijo has child Napol on Prince Imperial. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Napol on Prince Imperial, Napoleon III has child Napol on Prince Imperial. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Diogo Duke of Viseu, Ferdinand Duke of Viseu has child Diogo Duke of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso X of Castile has predecessor Ferdinand III of Castile, Ferdinand III of Castile has child Alfonso X of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Alonso de Arag n, Ferdinand II of Aragon has child Alonso de Arag n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso IX of Le n has predecessor Ferdinand II of Le n, Ferdinand II of Le n has child Alfonso IX of Le n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Alfonso XI of Castile, Ferdinand IV of Castile has child Alfonso XI of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carlo Duke of Calabria, Ferdinand I of the Two Sicilies has child Carlo Duke of Calabria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carlo Duke of Calabria, Maria Carolina of Austria has child Carlo Duke of Calabria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Leopoldine of Austria Este, Ferdinand Karl Archduke of Austria Este has child Archduchess Maria Leopoldine of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Leopoldine of Austria Este, Maria Beatrice d Este Duchess of Massa has child Archduchess Maria Leopoldine of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Bertha of Holland, Floris I Count of Holland has child Bertha of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte Agla  d Orl ans, Fran oise Marie de Bourbon has child Charlotte Agla  d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte Agla  d Orl ans, Philippe II Duke of Orl ans has child Charlotte Agla  d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anna de Medici, Francesco I de Medici Grand Duke of Tuscany has child Anna de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anna de Medici, Joanna of Austria Grand Duchess of Tuscany has child Anna de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Brittany has predecessor Francis II Duke of Brittany, Francis II Duke of Brittany has child Anne of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Anne of Brittany, Margaret of Foix has child Anne of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles IV Duke of Lorraine, Francis II Duke of Lorraine has child Charles IV Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Clementina of Austria, Francis II Holy Roman Emperor has child Archduchess Clementina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Clementina of Austria, Maria Theresa of Naples and Sicily has child Archduchess Clementina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Theresa of Austria Este 1817 1886, Francis IV Duke of Modena has child Archduchess Maria Theresa of Austria Este 1817 1886. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Theresa of Austria Este 1817 1886, Maria Beatrice of Savoy has child Archduchess Maria Theresa of Austria Este 1817 1886. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles III Duke of Lorraine has predecessor Francis I Duke of Lorraine, Francis I Duke of Lorraine has child Charles III Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Archduchess Maria Anna of Austria born 1738, Francis I Holy Roman Emperor has child Archduchess Maria Anna of Austria born 1738. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Anna of Austria born 1738, Maria Theresa has child Archduchess Maria Anna of Austria born 1738. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Theobald II Duke of Lorraine, Frederick III Duke of Lorraine has child Theobald II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matthias II Duke of Lorraine, Frederick II Duke of Lorraine has child Matthias II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolph Duke of Lorraine, Frederick IV Duke of Lorraine has child Rudolph Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick II Duke of Lorraine has predecessor Frederick I Duke of Lorraine, Frederick I Duke of Lorraine has child Frederick II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Caroline Matilda of Great Britain, Frederick Prince of Wales has child Caroline Matilda of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Caroline Matilda of Great Britain, Princess Augusta of Saxe Gotha has child Caroline Matilda of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ermengarde of Anjou d. 1146, Fulk IV Count of Anjou has child Ermengarde of Anjou d. 1146. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Amalric of Jerusalem, Fulk King of Jerusalem has child Amalric of Jerusalem. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Emma of Anjou, Geoffrey Plantagenet Count of Anjou has child Emma of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne Princess Royal and Princess of Orange, George II of Great Britain has child Anne Princess Royal and Princess of Orange. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George II of Great Britain has predecessor George I of Great Britain, George I of Great Britain has child George II of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Theodoric II Duke of Lorraine, Gerard Duke of Lorraine has child Theodoric II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Duke of Lower Lorraine, Gerberga of Saxony has child Charles Duke of Lower Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Duke of Lower Lorraine, Louis IV of France has child Charles Duke of Lower Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Albert II Duke of Saxony, Gertrude of Hohenberg has child Albert II Duke of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carlo Buonaparte, Giuseppe Maria Buonaparte has child Carlo Buonaparte. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Emma of Paris Duchess of Normandy, Hedwig of Saxony has child Emma of Paris Duchess of Normandy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carloman of Bavaria, Hemma has child Carloman of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carloman of Bavaria, Louis the German has child Carloman of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne Stuart born 1637, Henrietta Maria has child Anne Stuart born 1637. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
